MODALIDAD,TITULACION,TIPO_FORMACION,CARRERA_ESPECIALIDAD,TURNO,PLAN,DescTForm,Desc Carre,Mail,Enlace,RUEE,Nro_Establecimiento
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,FILOSOFÍA,NOCTURNO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403566
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,FÍSICA,NOCTURNO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403566
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,HISTORIA,NOCTURNO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403566
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,INGLÉS,NOCTURNO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403566
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,ITALIANO,NOCTURNO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403566
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,LITERATURA,NOCTURNO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403566
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,MATEMÁTICA,NOCTURNO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403566
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,PORTUGUÉS,NOCTURNO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403566
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,QUÍMICA,NOCTURNO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403566
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,DERECHO - SOCIOLOGÍA,NOCTURNO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403566
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,IDIOMA ESPAÑOL,NOCTURNO,2023,https://www.cfe.edu.uy/index.php/plan2023-profesorado,,,,,1403566
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008-2010,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,INTERMEDIO/VESPERTINO,2017,https://www.cfe.edu.uy/index.php/plan-2017,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,MATUTINO,2017,https://www.cfe.edu.uy/index.php/plan-2017,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,INTERMEDIO/VESPERTINO,2017,https://www.cfe.edu.uy/index.php/plan-2017,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,NOCTURNO,2017,https://www.cfe.edu.uy/index.php/plan-2017,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,INTERMEDIO/VESPERTINO,2017,https://www.cfe.edu.uy/index.php/plan-2017,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,NOCTURNO,2017,https://www.cfe.edu.uy/index.php/plan-2017,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,INTERMEDIO/VESPERTINO,2023,https://www.cfe.edu.uy/index.php/plan-2023,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,MATUTINO,2023,https://www.cfe.edu.uy/index.php/plan-2023,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE EDUCACIÓN PRIMARIA,NOCTURNO,2023,https://www.cfe.edu.uy/index.php/plan-2023,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,INTERMEDIO/VESPERTINO,2023,https://www.cfe.edu.uy/index.php/plan-vigente,,,,,1403568
PRESENCIAL,,01 - MAGISTERIO,MAESTRO DE PRIMERA INFANCIA,MATUTINO,2023,https://www.cfe.edu.uy/index.php/plan-vigente,,,,,1403568
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,ASTRONOMÍA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403568
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,ASTRONOMÍA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403568
SEMIPRESENCIAL CENTRO,,02 - PROFESORADO,ASTRONOMÍA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403568
SEMIPRESENCIAL,,02 - PROFESORADO,ASTRONOMÍA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403568
SEMIPRESENCIAL,,02 - PROFESORADO,ASTRONOMÍA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403568
SEMIPRESENCIAL,,02 - PROFESORADO,ASTRONOMÍA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403568
SEMIPRESENCIAL,,02 - PROFESORADO,ASTRONOMÍA,INTERMEDIO/VESPERTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403568
SEMIPRESENCIAL,,02 - PROFESORADO,ASTRONOMÍA,MATUTINO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403568
SEMIPRESENCIAL,,02 - PROFESORADO,ASTRONOMÍA,NOCTURNO,2008,https://www.cfe.edu.uy/index.php/plan-2008,,,,,1403568
