Tipo_de_Educacion,Turno,Comparte,Categoria,PNOfrece2,UNOfrece,Tiene comedor,Tiene copa de leche,Tiene equipo multidisciplinario,Profesores especiales,Con clases especiales,Horario,Tiene maestro de apoyo,Tiene maestro de apoyo Ceibal,Tiene maestro comunitario,Maestro mAs maestro,Maestro de trayectorias protegida,RUEE,rule1,Nombre
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1111018,2110017,
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,3 AÑOS,6,,,,,,,,,,,,1111019,2110018,
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,3 AÑOS,6,,,,,,,,,,,,1111020,2110019,
ESCUELAS COMUNES,DOBLE TURNO,NO,APRENDER,3 AÑOS,6,,,,,,,,,,,,1111021,2110020,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,6,,,,,,,,,,,,1111022,2110021,PALMAR DE QUEBRACHO
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,1,6,,,,,,,,,,,,1111023,2110022,
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,3 AÑOS,6,,,,,,,,,,,,1111024,2110023,
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,3 AÑOS,6,,,,,,,,,,,,1111025,2110024,
ESCUELAS COMUNES,VESPERTINO,SÍ,APRENDER  H. DE PRÁCTICA,4 AÑOS,6,,,,,,,,,,,,1111026,2110025,JUAN ZORRILLA DE SAN MARTIN
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1111027,2110026,AGUSTIN FERREIRO
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,4 AÑOS,5,,,,,,,,,,,,1111028,2110027,BARRA DE GUALEGUAY
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1111029,2110028,VAIMACA PIRU
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,5,,,,,,,,,,,,1111030,2110029,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,6,,,,,,,,,,,,1111031,2110030,
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,4 AÑOS,6,,,,,,,,,,,,1111032,2110031,
ESCUELAS COMUNES,MATUTINO,SÍ,ESCUELAS COMUNES,3 AÑOS,6,,,,,,,,,,,,1111033,2110032,HECTOR FERRARI 1550
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,6,,,,,,,,,,,,1111034,2110033,JUAN MANUEL BLANES
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,3 AÑOS,6,,,,,,,,,,,,1111035,2110034,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,6,,,,,,,,,,,,1111036,2110035,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,6,,,,,,,,,,,,1111037,2110036,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,5,,,,,,,,,,,,1111038,2110037,
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,1,6,,,,,,,,,,,,1111039,2110038,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,2,6,,,,,,,,,,,,1111040,2110039,
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,3 AÑOS,6,,,,,,,,,,,,1111041,2110040,
ESCUELAS COMUNES,MATUTINO,SÍ,ESCUELAS COMUNES,3 AÑOS,6,,,,,,,,,,,,1111042,2110041,JUANA DE IBARBOUROU
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,4,,,,,,,,,,,,1111043,2110042,PEDRO JACOBO ETCHEMENDY
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3,6,,,,,,,,,,,,1111044,2110043,
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,3 AÑOS,6,,,,,,,,,,,,1111045,2110044,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1111046,2110045,ARROYO NEGRO
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,5 AÑOS,4,,,,,,,,,,,,1111047,2110046,
ESCUELAS COMUNES,DOBLE TURNO,SÍ,ESCUELAS COMUNES,3 AÑOS,6,,,,,,,,,,,,1111048,3110047,QUEGUAY
ESCUELAS COMUNES,VESPERTINO,NO,CON MAESTRO A CARGO,3 AÑOS,6,,,,,,,,,,,,1111049,2110048,MTA. MA.TERESA MACRI
ESCUELAS COMUNES,RURAL,SÍ,CON MAESTRO A CARGO,3 AÑOS,6,,,,,,,,,,,,1111050,2110049,DIONISIO DIAZ
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,6,,,,,,,,,,,,1111051,2110050,
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,3 AÑOS,6,,,,,,,,,,,,1111052,2110051,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,5,,,,,,,,,,,,1111053,2110052,
ESCUELAS COMUNES,VESPERTINO,SÍ,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1111054,3110053,ESCUELA 54
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,5,,,,,,,,,,,,1111055,2110054,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,5 AÑOS,6,,,,,,,,,,,,1111056,2110055,
ESCUELAS COMUNES,MATUTINO,SÍ,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1111057,2110056,ITALIA
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,3 AÑOS,6,,,,,,,,,,,,1111058,2110057,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,6,,,,,,,,,,,,1111059,2110058,ESCUELA RURAL VOLANTE
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,3 AÑOS,6,,,,,,,,,,,,1111060,2110059,DON LUIS IGNACIO
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1111062,2110061,
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,1,6,,,,,,,,,,,,1111063,2110062,
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,3 AÑOS,6,,,,,,,,,,,,1111064,2110063,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,6,,,,,,,,,,,,1111065,2110064,COLONIA ROS DE OGER
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,5,,,,,,,,,,,,1111066,2110065,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,6,,,,,,,,,,,,1111067,2110066,PARADA RIVAS
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1111068,2110067,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1111070,2110068,
ESCUELAS COMUNES,DOBLE TURNO,NO,APRENDER,3 AÑOS,6,,,,,,,,,,,,1111071,2110069,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1111072,2110070,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,2,2,,,,,,,,,,,,1111074,2110072,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,6,6,,,,,,,,,,,,1111075,2110073,SALADERO GUAVIYÚ
ESCUELAS COMUNES,ESPECIAL,NO,ESCUELAS COMUNES,4 AÑOS,5,,,,,,,,,,,,1111076,2110074,PASO CASTELL DE CORRALES
ESCUELA ESPECIAL,ESPECIAL,NO,DISCAPACIDAD INTELECTUAL,,,,,,,,,,,,,,1111077,2110075,
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,3 AÑOS,6,,,,,,,,,,,,1111078,2110076,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,5 AÑOS,4,,,,,,,,,,,,1111079,2110077,
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,4 AÑOS,6,,,,,,,,,,,,1111080,2110078,
ESCUELAS COMUNES,RURAL,NO,ESCUELAS COMUNES,3 AÑOS,6,,,,,,,,,,,,1111081,2110079,INTERNADO
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1111082,2110080,PANDULE
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1111084,2110081,MOLLES GRANDE
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,6,,,,,,,,,,,,1111085,2110082,JUAN CARLOS HENDERSON
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,5 AÑOS,5,,,,,,,,,,,,1111086,2110083,MESETA DE ARTIGAS
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,3 AÑOS,6,,,,,,,,,,,,1111087,2110084,
ESCUELA ESPECIAL,ESPECIAL,NO,DISCAPACIDAD INTELECTUAL,,,,,,,,,,,,,,1111088,2110085,
ESCUELAS COMUNES,MATUTINO,SÍ,APRENDER,4 AÑOS,6,,,,,,,,,,,,1111089,2110086,LAUREANO TACUABE
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,6,,,,,,,,,,,,1111090,2110087,SAUCE DEL QUEGUAY ARRIBA
JARDÍN DE INFANTES,DOBLE TURNO,NO,JARDÍN COMÚN,3 AÑOS,5 AÑOS,,,,,,,,,,,,1111091,2110088,MAESTRA ENRIQUETA COMPTE Y RIQUÉ
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,1,6,,,,,,,,,,,,1111092,2110089,
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,3 AÑOS,6,,,,,,,,,,,,1111093,2110090,EL TREBOL
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,1,6,,,,,,,,,,,,1111094,2110091,GENERAL LEANDRO GOMEZ
ESCUELAS COMUNES,DOBLE TURNO,NO,APRENDER,4 AÑOS,6,,,,,,,,,,,,1111095,2110092,LUISA LUISI
ESCUELAS COMUNES,VESPERTINO,SÍ,ESCUELAS COMUNES,3 AÑOS,6,,,,,,,,,,,,1111096,2110003,
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,1,6,,,,,,,,,,,,1111097,2110093,
ESCUELAS COMUNES,VESPERTINO,SÍ,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1111098,2110010,
ESCUELAS COMUNES,MATUTINO,SÍ,APRENDER,4 AÑOS,6,,,,,,,,,,,,1111099,2110025,
ESCUELAS COMUNES,VESPERTINO,SÍ,ESCUELAS COMUNES,3 AÑOS,6,,,,,,,,,,,,1111100,2110041,
ESCUELAS COMUNES,VESPERTINO,SÍ,ESCUELAS COMUNES,3 AÑOS,6,,,,,,,,,,,,1111101,2110056,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,6,,,,,,,,,,,,1111102,2110094,
JARDÍN DE INFANTES,TIEMPO COMPLETO,NO,JARDÍN DE JORNADA COMPLETA,3 AÑOS,5 AÑOS,,,,,,,,,,,,1111103,2110095,JARDÍN DE INFANTES DE JORNADA COMP
JARDÍN DE INFANTES,DOBLE TURNO,NO,JARDÍN COMÚN,3 AÑOS,5 AÑOS,,,,,,,,,,,,1111104,2110096,JARDIN Nº 104
ESCUELAS COMUNES,VESPERTINO,SÍ,APRENDER,3 AÑOS,6,,,,,,,,,,,,1111105,2110086,
ESCUELAS COMUNES,MATUTINO,SÍ,APRENDER,4 AÑOS,6,,,,,,,,,,,,1111106,2110005,APOLO RONCHI
ESCUELAS COMUNES,VESPERTINO,SÍ,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1111107,2110032,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1111108,2110097,
JARDÍN DE INFANTES,TIEMPO COMPLETO,NO,JARDÍN DE JORNADA COMPLETA,3 AÑOS,5 AÑOS,,,,,,,,,,,,1111109,2110098,
ESCUELAS COMUNES,RURAL,SÍ,CON MAESTRO A CARGO,4 AÑOS,6,,,,,,,,,,,,1111110,2110099,
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,3 AÑOS,6,,,,,,,,,,,,1111111,2110100,
ESCUELAS COMUNES,DOBLE TURNO,NO,APRENDER,3 AÑOS,6,,,,,,,,,,,,1111112,2110101,ESTADO DE ISRAEL
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1111114,2110123,
JARDÍN DE INFANTES,TIEMPO COMPLETO,NO,JARDÍN DE JORNADA COMPLETA,3 AÑOS,5 AÑOS,,,,,,,,,,,,1111115,2110132,
JARDÍN DE INFANTES,TIEMPO COMPLETO,NO,JARDÍN DE JORNADA COMPLETA,3 AÑOS,5 AÑOS,,,,,,,,,,,,1111116,2110133,
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,1,6,,,,,,,,,,,,1112001,2120001,JOSE ARTIGAS
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,1,6,,,,,,,,,,,,1112002,2120002,REPÚBLICA DE FINLANDIA
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1112003,2120003,ESCUELA 3 DE TIEMPO COMPLETO
ESCUELAS COMUNES,VESPERTINO,SÍ,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1112004,2120004,
ESCUELAS COMUNES,DOBLE TURNO,NO,DE PRÁCTICA,4 AÑOS,6,,,,,,,,,,,,1112005,2120005,JOSE ENRIQUE RODO
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1112006,2120006,AGUSTIN FERREIRO
ESCUELAS COMUNES,EXTENDIDO,NO,T.EXTENDIDO-DE PRÁCTICA,4 AÑOS,6,,,,,,,,,,,,1112007,2120007,REPUBLICA ARGENTINA
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,1,6,,,,,,,,,,,,1112008,2120008,ALEMANIA
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,6,,,,,,,,,,,,1112009,2120009,SÁNCHEZ GRANDE
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,4 AÑOS,6,,,,,,,,,,,,1112010,2120010,SIMÒN BOLIVAR
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,4 AÑOS,6,,,,,,,,,,,,1112011,2120011,PASO DE LOS MELLIZOS
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,4 AÑOS,5,,,,,,,,,,,,1112012,2120012,
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,5 AÑOS,6,,,,,,,,,,,,1112014,2120014,COLONIA OFIR
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,4 AÑOS,6,,,,,,,,,,,,1112016,2120016,SARANDI DE NAVARRRO
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1112017,2120017,DOMINGO DE ARCE
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1112018,2120018,NO TIENE
ESCUELAS COMUNES,RURAL,SÍ,CON MAESTRO A CARGO,4 AÑOS,6,,,,,,,,,,,,1112019,2120019,LAS MARGARITAS
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,4 AÑOS,6,,,,,,,,,,,,1112022,2120021,
ESCUELAS COMUNES,DOBLE TURNO,SÍ,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1112023,2120022,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,6,,,,,,,,,,,,1112025,2120023,COSTAS DE BELLACO
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,4 AÑOS,6,,,,,,,,,,,,1112026,2120024,
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,5 AÑOS,6,,,,,,,,,,,,1112027,2120025,JUAN A. LAVALLEJA
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1112028,2120026,PUNTA DE SANTA FE
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,4 AÑOS,6,,,,,,,,,,,,1112029,2120027,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1112030,2120028,PUNTAS DE ROLÓN
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1112032,2120029,JUAN ZORRILLA DE SAN MARTIN
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,5 AÑOS,6,,,,,,,,,,,,1112033,2120030,PUNTAS DE AVERIAS
ESCUELAS COMUNES,DOBLE TURNO,NO,APRENDER,4 AÑOS,6,,,,,,,,,,,,1112034,2120031,CLEMENTE ESTABLE
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1112035,2120032,
ESCUELAS COMUNES,RURAL,NO,CON MAESTRO A CARGO,3 AÑOS,6,,,,,,,,,,,,1112036,2120033,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1112037,2120034,SANTA ISABEL
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1112038,2120035,VALLE DE SOBA
ESCUELAS COMUNES,RURAL,NO,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1112039,2120036,LAS FRACCIONES
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,5 AÑOS,6,,,,,,,,,,,,1112041,2120037,RINCON DE RAMIREZ
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,2,6,,,,,,,,,,,,1112042,2120038,
ESCUELAS COMUNES,EXTENDIDO,NO,TIEMPO EXTENDIDO,1,6,,,,,,,,,,,,1112043,2120039,FERNAN SILVA VALDES
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,1,6,,,,,,,,,,,,1112044,2120040,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,4,,,,,,,,,,,,1112045,2120041,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1112046,2120042,COLONIA CÉSAR MAYO GUTIÉRREZ
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1112047,2120043,COLONIA KENNEDY
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1112048,2120044,COLONIA DR. LUIS A. DE HERRERA
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1112049,2120045,EL ABROJAL
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,3,,,,,,,,,,,,1112050,2120046,
ESCUELAS COMUNES,DOBLE TURNO,SÍ,ESCUELAS COMUNES,1,6,,,,,,,,,,,,1112052,2120048,DR.SEMIRAMIDES ZEBALLOS
ESCUELAS COMUNES,DOBLE TURNO,NO,APRENDER,4 AÑOS,6,,,,,,,,,,,,1112053,2120049,ITALIA
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,1,6,,,,,,,,,,,,1112054,2120050,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1112055,2120051,LOS RANCHOS
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,6,,,,,,,,,,,,1112056,2120052,BICHADERO
ESCUELAS COMUNES,TIEMPO COMPLETO,NO,DE TIEMPO COMPLETO,4 AÑOS,6,,,,,,,,,,,,1112059,2120054,MAHATMA GANDHI
ESCUELA ESPECIAL,ESPECIAL,NO,DISCAPACIDAD INTELECTUAL,,,,,,,,,,,,,,1112060,2120055,DR. MARIO CARMINATTI
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,4 AÑOS,6,,,,,,,,,,,,1112061,2120056,NUEVA MEHLEM
ESCUELAS COMUNES,DOBLE TURNO,NO,ESCUELAS COMUNES,4 AÑOS,6,,,,,,,,,,,,1112062,2120057,FRUCTUOSO RIVERA
JARDÍN DE INFANTES,DOBLE TURNO,NO,JARDÍN COMÚN,3 AÑOS,5 AÑOS,,,,,,,,,,,,1112064,2120058,
ESCUELAS COMUNES,RURAL,NO,UNIDOCENTE,3 AÑOS,3,,,,,,,,,,,,1112065,2120059,EL SURCO
